"Nr.";"Anrede";"Titel";"Vorname";"Nachname";"Geburtsdatum";"Straße";"Hausnummer";"Postleitzahl";"Stadt";"Telefon";"Mobil";"Telefax";"EMail";"Newsletter";"Eintragsdatum"
"304";"k.A.";"";"Hansheinz";"Hapke";"";"Endertstraße";"110";"25554";"Dammfleth";"";"0150/3137018";"";"hansheinz-2008@net-mail.none";"";"18.08.2010"
"305";"Frau";"";"Florine";"Reiber";"";"Moselufer";"148";"66501";"Kleinbundenbach";"06332/69278420";"0159/6408663";"";"florine-reiber@net-mail.none";"";"04.04.2022"
"306";"Frau";"";"Sylke";"Garner";"";"Auf dem Scheid";"116";"38527";"Meine";"";"0170/2006219";"";"sylke_garner@xyz.none";"ja";"25.04.2013"
"307";"Frau";"Dr.";"Milena";"Sauer";"";"Milanweg";"167";"24329";"Rantzau";"";"";"";"milena_sauer@quickmail.none";"ja";"18.03.2019"
"308";"Herr";"";"Philipp";"Grau";"";"Im Hirschfeld";"186";"19065";"Raben Steinfeld";"03860/33260970";"0161/1726663";"";"";"";"08.04.2005"
"309";"k.A.";"";"Kathrin";"Fährmann";"";"Robert-Bosch-Straße";"110";"71111";"Waldenbuch";"07157/49498539";"0177/5292712";"";"kathrin-40@funmail.none";"";"16.02.1984"
"310";"Herr";"Dr.";"Siegmund";"Stenglein";"";"Auf'm Bungert";"20";"85399";"Hallbergmoos";"0811/86651138";"0150/8014900";"";"siegmund_stenglein@trashmail.none";"";"03.08.1997"
"311";"Herr";"";"Heilmuth";"Ziems";"01.08.1923";"Im Steinacker";"198";"92331";"Lupburg";"";"0177/2569615";"";"";"ja";"10.10.1988"
"312";"Herr";"";"Norfried";"Dill";"";"Tiefer Weg";"163";"34346";"Hann. Münden";"05541/66158379";"0176/9949709";"";"n_dill@kitty.none";"";"23.03.1917"
"313";"Herr";"";"Withold";"Weers";"";"Steinwiesstraße";"105";"56412";"Görgeshausen";"02602/58016806";"";"";"withold_weers@company.none";"ja";"04.08.1993"
"314";"Herr";"";"Steve";"Below";"";"Thürer Straße";"26";"13189";"Pankow";"030/31270677";"";"";"steve.below@bestmail.none";"ja";"21.08.1997"
"315";"k.A.";"";"Hanneliese";"Beere";"";"Oberdorfstraße";"186";"82431";"Kochel am See";"08851/5973031";"0157/8826426";"";"";"";"19.11.2021"
"316";"Herr";"";"Christhard";"Ellenberger";"";"Ziegelstraße";"126";"10119";"Berlin";"030/80580368";"0162/4760383";"";"christhardellenberger@kitty.none";"";"10.06.2019"
"317";"Herr";"";"Hansfried";"Seidensticker";"";"Pappelweg";"134";"67281";"Kirchheim an der Weinstraße";"06359/28573442";"0168/4870753";"";"";"";"17.06.2005"
"318";"Herr";"";"Sigward";"Weiler";"";"Xantener Straße";"10";"24214";"Tüttendorf";"04346/42459768";"";"";"s-08@net-mail.none";"";"31.07.2022"
"319";"Herr";"";"Lienhard";"Andrä";"";"Parkallee";"164";"56288";"Lahr";"02672/52591219";"0159/6568116";"";"";"";"30.05.2001"
"320";"Frau";"";"Reinhildis";"Rohloff";"13.08.1921";"Hermann-Geisen-Straße";"165";"41541";"Dormagen";"02133/52706689";"";"";"reinhildisrohloff@inter-mail.none";"";"08.05.2000"
"321";"Frau";"";"Gudrun";"Griffith";"";"Haldener Straße";"149";"55263";"Wackernheim";"06132/94833058";"";"";"gudrun_griffith@anymail.none";"";"08.11.2017"
"322";"Frau";"";"Marlitt";"Michels";"";"Leimbachstraße";"16";"49457";"Drebber";"05445/99401818";"0152/2991934";"";"m.michels@open-mail.none";"ja";"26.08.1970"
"323";"Frau";"";"Heideline";"Knebel";"";"Hillesheimer Straße";"196";"59302";"Oelde";"02522/47097375";"0175/9764664";"";"h-knebel@company.none";"nein";"12.05.1996"
"324";"Herr";"Dr.";"Raimond";"Redeker";"";"Lembecker Straße";"177";"44869";"Bochum";"0234/1701444";"0171/2465408";"";"raimondredeker@retromail.none";"";"23.07.1937"
"325";"k.A.";"Dr.";"Christsolde";"Moosmann";"";"Udetstraße";"87";"27801";"Dötlingen";"04433/14643052";"";"";"c_84@live-mail.none";"ja";"14.05.2001"
"326";"Frau";"";"Augusta";"Elsner";"";"Marienbergstraße";"123";"95444";"Bayreuth";"0921/96629025";"0172/2961721";"";"augusta-55@quickmail.none";"";"08.08.2014"
"327";"Herr";"";"Lambert";"Finzel";"";"Löwenstraße";"46";"03172";"Grießen";"03561/97256249";"0170/1248174";"";"";"";"31.08.1986"
"328";"Frau";"";"Elia";"Steinbock";"";"Zum Seifen";"30";"72299";"Wörnersberg";"07453/2692997";"0170/5186799";"";"e_steinbock@private.none";"";"23.08.1946"
"329";"Frau";"";"Mirjam";"Layer";"";"Wähnerstraße";"174";"66706";"Perl";"06867/83430739";"0164/1527741";"";"mirjam2015@mymail.none";"";"17.09.2020"
"330";"Herr";"";"André";"Robert";"";"Auf der Hufe";"156";"54413";"Rascheid";"06503/89518875";"";"";"arobert@email.none";"";"28.03.2011"
"331";"Herr";"";"Andree";"Obermüller";"24.08.2007";"Lenningser Straße";"74";"12277";"Berlin";"030/28514433";"0163/6294546";"";"andree_2007@anymail.none";"";"24.11.2022"
"332";"Frau";"";"Giulia";"Gemmer";"";"Steinbach";"129b";"84573";"Schönberg";"";"0171/4606458";"";"giulia_gemmer@spam-mail.none";"ja";"02.12.1985"
"333";"Herr";"";"Hans";"Dumler";"";"Breslauer Weg";"99";"78592";"Egesheim";"07429/55361003";"0179/9934921";"";"hans.dumler@open-mail.none";"ja";"24.02.2007"
"334";"Frau";"";"Babsi";"Ritzer";"26.07.1935";"In der Schlade";"165";"38373";"Süpplingen";"05355/28381414";"0157/2556994";"";"b1935@private.none";"";"06.12.2017"
"335";"Herr";"";"Leif";"Baader";"12.08.1942";"Ohligser Straße";"61";"65391";"Lorch";"06726/10987433";"0174/7040766";"";"leif.42@live-mail.none";"ja";"17.12.2012"
"336";"Herr";"";"Kian";"Reetz";"22.11.1966";"Erlhager Weg";"163";"86500";"Kutzenhausen";"";"0157/5016774";"";"k1966@funmail.none";"ja";"02.04.1970"
"337";"Herr";"";"Rutger";"Ortlieb";"29.05.2005";"Im Broich";"66";"21369";"Nahrendorf";"05855/64398523";"0152/9157471";"";"";"";"17.11.2013"
"338";"Herr";"";"Inghard";"Glatz";"";"Schenkstraße";"56";"72076";"Tübingen";"07071/87200889";"0164/2591760";"";"inghardglatz@company.none";"ja";"27.02.1930"
"339";"Frau";"";"Gaby";"Isik";"";"Immenstädter Straße";"131";"77784";"Oberharmersbach";"07837/38187085";"0178/7311932";"";"";"ja";"04.09.1969"
"340";"Frau";"";"Svea";"Winzen";"";"Stetzelmannstraße";"100";"55758";"Sensweiler";"06785/49205023";"0172/7164578";"";"sveawinzen@justmail.none";"";"15.05.1947"
"341";"Frau";"";"Kati";"Boettcher";"";"Wasserstraße";"117";"66123";"Saarbrücken";"0681/30499392";"0157/7670574";"";"kboettcher@justmail.none";"";"16.11.1939"
"342";"k.A.";"";"Heimbert";"Nehring";"";"Rurdorfer Straße";"120";"25821";"Sönnebüll";"04671/55032040";"0171/6695736";"";"h-nehring@funmail.none";"";"18.09.1967"
"343";"Frau";"";"Anke";"King";"";"Jakobsberger Weg";"164";"35279";"Neustadt";"06692/99605765";"0176/8209246";"";"aking@net-mail.none";"";"29.01.1970"
"344";"Frau";"";"Gritta";"Malinowski";"20.09.2012";"St. Martinstraße";"152";"73492";"Rainau";"07961/14803757";"";"";"grittamalinowski@email.none";"";"06.04.2021"
"345";"Frau";"";"Gina";"Prien";"";"Hoffmannstraße";"94";"55758";"Bärenbach";"06752/49018284";"0165/8778200";"";"";"";"26.07.2006"
"346";"Herr";"";"Enno";"Lindau";"";"Heller Weg";"15";"33100";"Paderborn";"";"0170/4698548";"";"";"ja";"08.07.2013"
"347";"Herr";"";"Benjamin";"Berge";"26.11.1979";"Holthausen";"28";"25746";"Lohe-Rickelshof";"0481/28762201";"0175/7272796";"";"b_79@anymail.none";"";"17.07.1996"
"348";"Frau";"";"Annedore";"Ewen";"29.07.1990";"Münsterdamm";"126";"79282";"Ballrechten-Dottingen";"07634/45479301";"0153/8832461";"";"";"ja";"25.09.2015"
"349";"Herr";"";"Reinholdt";"Glander";"";"Wallbachstraße";"121";"55481";"Schwarzen";"";"0175/6000700";"";"reinholdt-97@quickmail.none";"nein";"08.03.2021"
"350";"Herr";"";"Henrik";"Hädrich";"";"Untermarktstraße";"166";"25938";"Utersum";"04681/92501062";"0165/5663470";"";"henrik_1933@ultramail.none";"";"22.07.1974"
"351";"k.A.";"";"Rüdiger";"Stürmer";"04.06.1967";"Theodor-Storm-Weg";"192";"56348";"Dahlheim";"";"0161/2359316";"";"ruediger.stuermer@justmail.none";"";"08.10.1991"
"352";"Herr";"";"Daniel";"Kloppenburg";"31.07.2008";"Badener Straße";"87";"56825";"Urschmitt";"02676/63067508";"0155/6094092";"";"daniel-kloppenburg@hoster.none";"";"11.09.2012"
"353";"Herr";"";"Günther";"Klemke";"";"Alter Venloer Weg";"176";"66996";"Schönau";"06391/62191538";"0175/1898739";"";"guenther.klemke@goggle-mail.none";"";"25.04.1936"
"354";"Herr";"";"Conrad";"Simonis";"";"Agnesstraße";"129";"48157";"Münster";"0251/16332281";"0175/3215023";"";"csimonis@domain.none";"";"08.04.1982"
"355";"Frau";"";"Heide";"Jeske";"13.09.1984";"Bad-Emser Straße";"6";"38704";"Liebenburg";"";"0155/1188190";"";"heide_jeske@inter-mail.none";"ja";"04.02.1990"
"356";"Herr";"";"Emanuel";"Rothmeier";"";"Renaudstraße";"195";"38820";"Halberstadt";"03941/73390982";"0156/1122363";"";"erothmeier@inter-mail.none";"";"29.12.2018"
"357";"Herr";"";"Friedolf";"Rech";"";"Rederscheider Straße";"91";"73655";"Bärenbach";"07181/98585043";"";"07181/26697827";"friedolfrech@web.none";"";"21.11.2006"
"358";"k.A.";"";"Wernher";"Hintzen";"";"Hollerweg";"74";"66909";"Steinbach am Glan";"06383/58456033";"";"";"w-60@domain.none";"";"04.09.1976"
"359";"k.A.";"";"Filip";"Foerster";"";"Münsterer Straße";"186";"53520";"Kaltenborn";"02691/61449806";"0174/2103084";"";"filip.foerster@mymail.none";"";"09.11.2011"
"360";"Herr";"";"Hadubert";"Limpert";"21.05.1903";"Rübezahlweg";"183";"66113";"Saarbrücken";"";"0166/1425797";"";"hadubertlimpert@justmail.none";"";"31.03.1937"
"361";"Herr";"";"Diethardt";"Asal";"26.08.2006";"Schleusenweg";"60";"76756";"Bellheim";"07272/93674678";"0176/7871516";"";"diethardt-asal@domain.none";"";"07.03.2020"
"362";"Herr";"";"Luitpold";"Mittermaier";"";"Neuburger Straße";"35";"38102";"Braunschweig";"0531/22560012";"";"";"luitpold.mittermaier@anymail.none";"";"19.01.2022"
"363";"k.A.";"";"Sönke";"Reinheimer";"";"Oscar-Wilde-Straße";"148";"89297";"Roggenburg";"07300/69291224";"0150/2700787";"";"sreinheimer@inter-mail.none";"";"24.12.1980"
"364";"Frau";"";"Karla";"Diller";"10.05.1923";"Hüllstraße";"77";"31700";"Heuerßen";"05725/41374600";"";"";"";"ja";"29.08.2001"
"365";"Frau";"";"Christin";"Schon";"";"Adorferhof";"77";"82387";"Antdorf";"08856/57589289";"0179/4946913";"";"christin.43@live-mail.none";"";"22.12.2007"
"366";"Frau";"Dr. Dr.";"Simone";"Latzel";"";"Von-Waldthausen-Straße";"153";"55566";"Daubach";"06756/87226857";"0178/3806552";"";"s_2002@web.none";"";"20.03.2006"
"367";"Frau";"";"Inga";"Scheer";"15.10.1972";"Altendorf";"118";"25576";"Brokdorf";"04829/78101753";"0179/4656908";"";"ingascheer@inter-mail.none";"ja";"30.12.1989"
"368";"Frau";"";"Irmelinde";"Weidig";"";"In Heunbächeln";"51";"29475";"Gorleben";"05882/9173044";"0153/3695024";"";"irmelinde-weidig@xyz.none";"";"13.06.1963"
"369";"k.A.";"";"Birgitta";"Kuhnen";"03.04.2014";"Im Schafstück";"114";"23619";"Heilshoop";"";"0175/9203124";"04533/79046906";"b_kuhnen@validmail.none";"";"03.11.2021"
"370";"Herr";"";"Timmo";"Lindauer";"";"Schaafsweg";"162";"48161";"Münster";"0251/54361012";"0168/9248123";"";"timmo-2013@hoster.none";"ja";"13.07.2014"
"371";"Frau";"";"Meta";"Delgado";"";"Alte Jülicher Straße";"86";"75382";"Althengstett";"07051/43556386";"";"";"metadelgado@goggle-mail.none";"ja";"12.08.2021"
"372";"k.A.";"";"Remigius";"Küthe";"";"Ober dem Weihergarten";"179";"56814";"Bremm";"02671/50817994";"0164/2649055";"";"remigius-kuethe@trashmail.none";"nein";"27.03.1909"
"373";"k.A.";"";"Irene";"Mages";"21.08.1950";"Rexestraße";"102";"67715";"Geiselberg";"06307/15665280";"";"";"irene-mages@live-mail.none";"";"04.08.1999"
"374";"Frau";"";"Waldburgis";"Mergel";"";"Reuterstraße";"111";"86513";"Ursberg";"08281/51321577";"";"";"w-mergel@inter-mail.none";"ja";"05.11.1953"
"375";"Frau";"";"Ilsegard";"Görke";"";"Utrechter Straße";"39";"56843";"Lötzbeuren";"";"0160/6158213";"";"ilsegard73@funmail.none";"";"22.05.1973"
"376";"Herr";"";"Alexander";"Wege";"18.03.2000";"Walter-Flex-Straße";"94";"37574";"Einbeck";"05561/50097019";"0170/8548296";"";"a_2000@funmail.none";"ja";"05.07.2016"
"377";"Herr";"";"Justus";"Stemmler";"";"Am Roth";"153 b";"97792";"Riedenberg";"";"";"";"";"";"02.12.1975"
"378";"Herr";"";"Ingfried";"Petri";"";"Freusburgermühle";"153";"88410";"Bad Wurzach";"07564/55594386";"";"07564/91452764";"ingfried.petri@xyz.none";"";"22.07.1944"
"379";"Herr";"";"Falko";"Steffen";"09.06.1966";"Am Kendel";"187";"06406";"Bernburg";"03471/22850498";"0160/9430555";"";"falkosteffen@bestmail.none";"";"18.10.2006"
"380";"Herr";"";"Winand";"Sassen";"";"Geranienstraße";"160";"73463";"Westhausen";"07363/34776976";"";"07363/83456485";"w.sassen@domain.none";"nein";"05.01.1983"
"381";"Frau";"";"Brünhild";"Dunker";"";"Sewanstraße";"108";"36041";"Fulda";"0661/9207702";"0151/6180333";"";"bruenhilddunker@funmail.none";"nein";"14.10.2010"
"382";"Herr";"";"Bennett";"Reil";"10.12.1979";"Am Seeufer";"191";"65558";"Heistenbach";"06432/74961623";"0171/5701652";"";"";"";"13.04.1996"
"383";"Frau";"";"Annagret";"Boone";"";"Buchenallee";"148";"86929";"Penzing";"";"";"";"annagret-boone@quickmail.none";"";"08.07.2010"
"384";"Herr";"";"Damian";"Eirich";"";"Rahlaukamp";"143";"56379";"Dienethal";"02604/86132725";"0164/3760125";"";"deirich@justmail.none";"ja";"17.07.1916"
"385";"Frau";"";"Rosa";"Pelz";"";"Margarethenstraße";"78";"71364";"Winnenden";"07195/51939388";"0165/2735128";"";"rosapelz@bestmail.none";"";"17.03.1995"
"386";"Herr";"";"Franziskus";"Ziebarth";"";"Huschweg";"162";"56598";"Rheinbrohl";"";"0172/4763467";"02635/53400320";"franziskus14@live-mail.none";"";"15.07.2013"
"387";"Herr";"";"Andreas";"Henschel";"";"Breitwiesenstraße";"124";"89293";"Kellmünz an der Iller";"08337/896546";"0175/6579896";"";"a_1955@anymail.none";"";"24.11.2014"
"388";"Frau";"";"Irmlinde";"Kupfer";"20.09.1959";"Linderner Straße";"147";"67577";"Alsheim";"06249/61750105";"";"";"";"ja";"07.12.2015"
"389";"Herr";"";"Carl";"Grein";"";"Neuenteich";"100";"24354";"Rieseby";"04355/54703522";"0158/4774417";"";"carl.grein@anymail.none";"ja";"27.09.2019"
"390";"Herr";"";"Wladislaus";"Wester";"";"Jakobusstraße";"127";"45277";"Essen";"0201/87146994";"0166/2278267";"";"wladislaus1910@kitty.none";"ja";"20.11.1926"
"391";"Herr";"";"Eckhart";"Junginger";"";"Altenburger Straße";"123c";"57580";"Gebhardshain";"02747/79262979";"0160/1921726";"02747/47441687";"eckhart_1950@xyz.none";"";"24.03.1998"
"392";"Herr";"Dr.";"Desiderius";"Schewe";"";"Giescheid";"154";"23749";"Grube";"";"0150/4682762";"";"desideriusschewe@private.none";"";"23.04.2006"
"393";"Frau";"";"Lisa";"Jürgen";"";"Am Berge";"177";"34127";"Kassel";"0561/59632749";"0157/1243617";"";"l.juergen@open-mail.none";"";"03.11.1995"
"394";"Herr";"";"Kurt";"Pfohl";"";"Auf'm Gräverich";"50";"45731";"Waltrop";"02309/66921668";"";"";"k_pfohl@justmail.none";"";"13.06.2000"
"395";"Herr";"";"Gerthold";"Bruhns";"";"Grazer Straße";"79";"55483";"Dickenschied";"06763/75001671";"0154/4677729";"06763/44783965";"";"ja";"23.12.1940"
"396";"Frau";"";"Helga";"Freiberg";"";"Küpperweg";"3";"36367";"Wartenberg";"";"0170/3188684";"";"helga-17@company.none";"ja";"28.04.2020"
"397";"k.A.";"";"Cäzilie";"Urban";"";"Am Brandhahn";"51";"54457";"Wincheringen";"";"0169/1940488";"";"caezilie_urban@ultramail.none";"";"24.07.2012"
"398";"k.A.";"";"Wolfgard";"Geibel";"31.03.1942";"Saarlandring";"45";"25853";"Ahrenshöft";"04671/40254512";"";"";"wolfgard.geibel@mymail.none";"";"02.01.1950"
"399";"Herr";"";"Hansludwig";"Stiewe";"19.05.1911";"Walter-Liebig-Straße";"189";"55471";"Keidelheim";"06761/31765173";"0171/7724432";"";"h_stiewe@anymail.none";"ja";"21.08.1926"
"400";"Herr";"Prof. Dr.";"Joseph";"Knoop";"";"Eltener Straße";"163";"65343";"Eltville am Rhein";"06123/16605582";"0156/6563871";"";"j-16@ultramail.none";"";"29.08.2018"
"401";"Frau";"";"Adina";"Hain";"02.05.1996";"Landoisstraße";"65";"91749";"Wittelshofen";"09854/64691597";"0170/7868184";"";"adina_hain@live-mail.none";"ja";"22.05.2004"
"402";"k.A.";"";"Conrad";"Ilg";"";"Mendiger Straße";"9";"56459";"Girkenroth";"02663/69401820";"0162/9559979";"";"conrad.ilg@goggle-mail.none";"ja";"27.02.2001"
"403";"Herr";"";"Veith";"Wenz";"";"Graf-Galen-Straße";"51";"24321";"Panker";"04381/6996588";"0177/2715889";"";"v.wenz@domain.none";"ja";"14.05.1982"
"404";"Herr";"";"Udo";"Bögel";"";"Oehndorfstraße";"182";"38315";"Schladen";"05335/55023923";"0172/1805183";"05335/8378391";"u_14@validmail.none";"";"22.01.2014"
"405";"Frau";"";"Gotelind";"Ressel";"";"Memminger Straße";"25";"89160";"Dornstadt";"07348/25970464";"0171/4784309";"";"";"";"18.09.1997"
"406";"Frau";"";"Henriette";"Westermeier";"26.12.2011";"Auf dem Stausten";"39";"21769";"Lamstedt";"";"0150/6684404";"";"h_westermeier@web.none";"";"19.05.2016"
"407";"Frau";"";"Marika";"Riecken";"";"Lüneburger Straße";"16";"25548";"Mühlenbarbek";"";"";"";"marika04@email.none";"";"14.06.1995"
"408";"Herr";"";"Engelhard";"Luther";"";"Hinter dem Bach";"81";"54597";"Neuendorf";"06551/53100743";"0163/3182135";"";"engelhard.1996@bestmail.none";"";"04.03.2016"
"409";"Herr";"";"Alfhard";"Weimann";"";"Varusstraße";"125";"49448";"Brockum";"05443/44660107";"";"";"aweimann@hoster.none";"";"01.02.2019"
"410";"Frau";"";"Kirstin";"Mücke";"";"Flensburger Straße";"23";"74172";"Neckarsulm";"07132/52514819";"";"";"";"";"04.12.1983"
"411";"Frau";"";"Waltraud";"Springer";"";"Malbergstraße";"189";"72401";"Haigerloch";"07474/89153642";"";"";"w.springer@ultramail.none";"ja";"14.03.1940"
"412";"Frau";"";"Lucia";"Rinker";"29.01.1955";"Ortenaustraße";"7";"55629";"Schwarzerden";"06765/60674285";"0156/5558500";"";"lrinker@validmail.none";"";"12.11.2016"
"413";"Frau";"";"Aloysia";"Stecker";"15.04.1986";"Giller Straße";"91";"54441";"Wellen";"06501/66513314";"";"";"aloysiastecker@kitty.none";"";"27.08.1991"
"414";"Herr";"";"Burgfried";"Richards";"";"Hoffmannstraße";"3";"34270";"Schauenburg";"05601/16074436";"";"";"burgfried_richards@mymail.none";"";"13.03.1993"
"415";"Herr";"";"Florian";"Karp";"28.02.1953";"Sperberweg";"182";"56346";"Lykershausen";"06771/85753438";"0163/5476829";"";"fkarp@private.none";"";"16.06.1962"
"416";"Herr";"";"Klemens";"Jopp";"";"Stoltenstraße";"113";"36364";"Bad Salzschlirf";"06648/18428270";"0164/5157843";"06648/41453604";"klemens_jopp@domain.none";"";"04.09.1960"
"417";"Herr";"";"Heinolf";"Hegewald";"";"Fuggerstraße";"130";"56589";"Niederbreitbach";"02638/90143612";"0156/6439356";"";"";"";"18.01.1991"
"418";"Frau";"";"Larissa";"Niewerth";"";"Forstweg";"124";"55430";"Urbar";"06744/78435534";"0174/1776023";"";"larissaniewerth@net-mail.none";"ja";"14.11.1989"
"419";"Frau";"";"Edeltrudis";"Bär";"";"Unterdorf";"177";"47138";"Duisburg";"0203/46273067";"";"";"edeltrudis.44@validmail.none";"";"13.11.2004"
"420";"Herr";"";"Klauspeter";"Galle";"";"Odenthaler Straße";"76";"86756";"Reimlingen";"09081/42779716";"0159/5931851";"";"klauspeter_galle@anymail.none";"";"03.01.2019"
"421";"Frau";"";"Kriemhilde";"Wirsching";"";"Am Langacker";"169";"30165";"Hannover";"0511/69746307";"0163/6580266";"";"kriemhilde_wirsching@funmail.none";"";"24.11.2012"
"422";"Herr";"";"Utho";"Ristow";"";"Finkenkamp";"165";"41066";"Mönchengladbach";"02161/91651217";"0151/7994176";"";"uthoristow@quickmail.none";"";"17.03.2005"
"423";"Frau";"";"Myrjam";"Kräuter";"";"Winternam";"167";"88045";"Friedrichshafen";"";"0151/3740650";"";"";"";"02.11.2017"
"424";"Herr";"";"Klauspeter";"Bass";"";"Johannes-Biggemann-Straße";"12";"23570";"Lübeck";"0451/34931152";"0173/7491738";"";"klauspeter_bass@net-mail.none";"nein";"12.06.2002"
"425";"Frau";"";"Helena";"Sen";"";"Hühnerkamp";"145";"12279";"Berlin";"030/76101462";"";"";"helenasen@web.none";"";"06.12.1991"
"426";"Frau";"";"Anna";"Raible";"28.08.1949";"Schweizer Straße";"138";"66440";"Blieskastel";"06842/37302400";"0167/6813889";"";"anna-raible@xyz.none";"";"05.05.2018"
"427";"Herr";"";"Helwart";"Gerner";"05.02.1970";"Rommelstraße";"45";"69518";"Unter-Abtsteinach";"06207/36555193";"0151/5323727";"";"h_1970@funmail.none";"";"09.07.1985"
"428";"Herr";"";"Adam";"Schlichting";"";"Seitenstraße";"83";"23795";"Bad Segeberg";"04551/26052138";"0165/8556716";"04551/51099447";"adam_schlichting@trashmail.none";"";"13.11.1955"
"429";"Herr";"";"Helmfried";"Krumpholz";"02.10.1935";"Riege";"173";"35683";"Dillenburg";"02771/79006541";"0151/5286846";"";"h35@mymail.none";"nein";"11.06.1983"
"430";"Herr";"";"Bodomar";"Liesegang";"";"In der Stehl";"125";"73479";"Ellwangen";"07961/49947196";"0154/4751813";"";"bodomarliesegang@goggle-mail.none";"";"06.01.2011"
"431";"Herr";"";"Ottokar";"Nagl";"";"Hofbergstraße";"168";"65582";"Diez";"06432/34303454";"0170/6823478";"";"o.nagl@spam-mail.none";"";"31.08.2012"
"432";"Herr";"";"Burkard";"Illgen";"";"Ollheimer Straße";"174";"74542";"Braunsbach";"07906/87377225";"0175/8029830";"";"burkard-1969@quickmail.none";"";"08.09.1988"
"433";"k.A.";"";"Sonnhilde";"Schrödel";"30.01.1970";"Witzelstraße";"49";"70182";"Stuttgart";"0711/78407095";"";"";"sonnhilde.schroedel@domain.none";"ja";"29.01.1989"
"434";"Frau";"";"Kriemhild";"Paffrath";"";"Aulgasse";"175";"72119";"Ammerbuch";"";"0156/8216034";"";"kriemhild-paffrath@trashmail.none";"ja";"04.05.2020"
"435";"k.A.";"";"Cordelia";"Röck";"";"Mühlgasse";"45";"10367";"Berlin";"030/10716667";"0159/3514442";"";"cordeliaroeck@inter-mail.none";"nein";"13.08.2019"
"436";"Herr";"";"Diether";"Lindemann";"";"Rübenacher Straße";"113";"86643";"Rennertshofen";"08434/36194275";"0172/7458932";"";"diether.1926@company.none";"";"19.07.1949"
"437";"Herr";"";"Norbert";"Klarmann";"";"Hirzenhubstraße";"82";"56422";"Wirges";"02602/11043027";"0163/1783507";"";"norbert-klarmann@validmail.none";"";"23.08.1949"
"438";"Herr";"";"Joschka";"Bäumer";"";"Kanzlerstraße";"28";"58256";"Ennepetal";"02333/78368060";"0176/2225904";"";"joschka_baeumer@hoster.none";"ja";"15.02.2014"
"439";"Frau";"";"Bertwalda";"Flaig";"";"Berrenrather Straße";"106";"35586";"Wetzlar";"";"0179/7165186";"";"b_1915@net-mail.none";"";"22.12.1952"
"440";"Frau";"Dr.";"Edeltraud";"Hansen";"24.03.2000";"Iltisstraße";"20";"61197";"Florstadt";"06035/35355200";"0160/8148060";"";"edeltraud-hansen@anymail.none";"ja";"08.04.2009"
"441";"k.A.";"";"Irmgard";"Pilgram";"";"Willicher Straße";"138";"87764";"Legau";"08330/49395438";"";"";"irmgard1926@justmail.none";"";"11.07.2012"
"442";"Herr";"";"Cedrik";"Brühl";"";"Brandenburger Allee";"199";"83676";"Jachenau";"";"";"";"cedrik.bruehl@spam-mail.none";"";"14.04.2007"
"443";"Frau";"";"Urte";"Fessler";"";"Willy-Arndt-Straße";"158";"78465";"Konstanz";"07531/86830626";"0155/9114366";"";"urte-47@trashmail.none";"ja";"05.08.1980"
"444";"Herr";"";"Wilhardt";"Frei";"";"Baumberger Straße";"79";"78078";"Niedereschach";"07728/83947493";"0159/7870687";"";"wilhardt-1981@goggle-mail.none";"";"08.08.1989"
"445";"Frau";"";"Jeanette";"Krischke";"22.10.1944";"Epscheider Straße";"23";"36433";"Bad Salzungen";"03695/32837103";"0159/6690443";"";"jeanette-krischke@inter-mail.none";"";"15.06.2003"
"446";"Frau";"Dr. Dr.";"Friederike";"Bey";"";"Weilautstraße";"97";"54636";"Hütterscheid";"06561/50177944";"0162/5845423";"";"f_1958@anymail.none";"";"13.10.2008"
"447";"Herr";"";"Borromäus";"Rossel";"11.11.1967";"Windmühlenstraße";"110";"54597";"Roth";"06551/3768053";"0152/6146986";"06551/24511345";"borromaeus.rossel@retromail.none";"";"04.08.1998"
"448";"Frau";"";"Tilla";"Sauerbier";"";"Kaulstraße";"165 c";"56459";"Härtlingen";"02663/25486592";"0155/3313322";"";"tsauerbier@kitty.none";"";"17.05.1908"
"449";"k.A.";"";"Jobst";"Zimmerling";"";"Alte Bahn";"152";"48361";"Beelen";"02586/19765459";"";"";"jobstzimmerling@anymail.none";"";"28.06.1992"
"450";"Herr";"";"Degenhart";"Mönnich";"";"Tungerloh-Capellen";"153";"49082";"Osnabrück";"";"0174/5422515";"";"degenhart.moennich@goggle-mail.none";"nein";"08.10.2002"
"451";"Frau";"";"Sigtraud";"Steitz";"";"Duisburger Straße";"18";"63773";"Goldbach";"06021/50965743";"0155/2365316";"";"sigtraud_steitz@trashmail.none";"ja";"16.06.1983"
"452";"Frau";"";"Huldine";"Maucher";"01.05.2013";"Auf Peschhelle";"11";"37083";"Göttingen";"0551/55901406";"";"0551/78782602";"huldine.maucher@retromail.none";"";"20.01.2015"
"453";"Frau";"";"Felizia";"Heidt";"11.10.1961";"Am Hahnweg";"99";"24214";"Schinkel";"04346/21915341";"0170/6924669";"";"f1961@private.none";"";"02.10.2015"
"454";"Herr";"";"Tommy";"Matt";"";"Flachsbruch";"197";"79848";"Bonndorf";"07703/58537737";"";"07703/49044126";"";"";"14.04.1984"
"455";"Herr";"Dr.";"Oswin";"Howard";"";"Am Semberg";"76";"24594";"Tappendorf";"04871/37696551";"0165/1632358";"";"oswin_74@quickmail.none";"nein";"12.04.2001"
